Unnamed: 0,timestamp,0,id,x,y,z,accX,accY,accZ,pitch,yaw,roll,tracker,session,removeme,phase,quartiles,rotation,interpolated,CI
1,6/8/19 15:24:06,8/6/19 15:24,37658,7149,3234,3045,960,130,58,-1.328,2.991,1.448,26656,S1,-12.5477802,1,4,-12.5477802,0,Preparing Fluids
2,6/8/19 15:24:06,8/6/19 15:24,37665,7145,3372,1561,961,100,-42,-3.043,2.883,1.463,26656,S1,-18.7357266,1,4,-18.7357266,0,Preparing Fluids
3,6/8/19 15:24:07,8/6/19 15:24,37672,7278,3349,-137,975,87,-95,-3.071,2.662,1.478,26656,S1,-31.3980984,1,4,-31.3980984,0,Preparing Fluids
4,6/8/19 15:24:08,8/6/19 15:24,37679,7145,3349,-137,971,-30,-146,2.867,2.594,1.425,26656,S1,-35.2942128,1,4,-35.2942128,0,Preparing Fluids
5,6/8/19 15:24:08,8/6/19 15:24,37686,7125,3349,1676,914,-25,-207,2.79,2.449,1.365,26656,S1,-43.6021038,1,4,-43.6021038,0,Preparing Fluids
6,6/8/19 15:24:09,8/6/19 15:24,37693,6909,3492,397,984,-49,-237,2.909,2.122,1.397,26656,S1,-62.3378304,1,4,-62.3378304,0,Preparing Fluids
7,6/8/19 15:24:10,8/6/19 15:24,37700,6703,3492,295,968,-45,-98,3.114,2.041,1.462,26656,S1,-66.9787902,1,4,-66.9787902,0,Preparing Fluids
8,6/8/19 15:24:10,8/6/19 15:24,37707,6677,3139,390,998,-142,42,3.079,2.389,1.504,26656,S1,-47.0398518,1,4,-47.0398518,0,Preparing Fluids
9,6/8/19 15:24:11,8/6/19 15:24,37714,6599,2797,2185,999,-145,-4,3.028,2.417,1.456,26656,S1,-45.4355694,1,4,-45.4355694,0,Preparing Fluids
10,6/8/19 15:24:12,8/6/19 15:24,37721,6525,2718,390,982,-114,-33,2.037,2.517,1.432,26656,S1,-39.7059894,1,4,-39.7059894,0,Preparing Fluids
11,6/8/19 15:24:12,8/6/19 15:24,37728,6455,2718,-62,1030,-26,-95,3.095,2.445,1.472,26656,S1,-43.831287,1,4,-43.831287,0,Preparing Fluids
12,6/8/19 15:24:13,8/6/19 15:24,37735,6455,2718,-62,994,15,-62,-3.136,2.294,1.512,26656,S1,-52.4829528,1,4,-52.4829528,0,Preparing Fluids
13,6/8/19 15:24:14,8/6/19 15:24,37742,6461,2738,-62,994,23,-38,-3.131,2.289,1.525,26656,S1,-52.7694318,1,4,-52.7694318,0,Preparing Fluids
14,6/8/19 15:24:14,8/6/19 15:24,37749,6461,2628,140,999,-2,-16,3.132,2.353,1.545,26656,S1,-49.1025006,1,4,-49.1025006,0,Preparing Fluids
15,6/8/19 15:24:15,8/6/19 15:24,37756,6449,2628,140,980,-17,-31,3.138,2.27,1.545,26656,S1,-53.858052,1,4,-53.858052,0,Preparing Fluids
16,6/8/19 15:24:16,8/6/19 15:24,37763,6507,2570,1947,979,0,-43,3.127,2.332,1.537,26656,S1,-50.3057124,1,4,-50.3057124,0,Preparing Fluids
17,6/8/19 15:24:17,8/6/19 15:24,37770,6507,2342,3622,988,-4,-30,3.13,2.334,1.54,26656,S1,-50.1911208,1,4,-50.1911208,0,Preparing Fluids
18,6/8/19 15:24:17,8/6/19 15:24,37777,6449,2342,3622,984,-9,-24,3.13,2.341,1.544,26656,S1,-49.7900502,1,4,-49.7900502,0,Preparing Fluids
19,6/8/19 15:24:18,8/6/19 15:24,37784,6571,2342,3622,979,-2,-24,3.13,2.346,1.542,26656,S1,-49.5035712,1,4,-49.5035712,0,Preparing Fluids
20,6/8/19 15:24:19,8/6/19 15:24,37791,6475,2452,3442,982,-4,-37,3.13,2.35,1.539,26656,S1,-49.274388,1,4,-49.274388,0,Preparing Fluids
21,6/8/19 15:24:19,8/6/19 15:24,37798,6550,2592,3075,982,-19,-39,3.126,2.349,1.534,26656,S1,-49.3316838,1,4,-49.3316838,0,Preparing Fluids
22,6/8/19 15:24:20,8/6/19 15:24,37805,6550,2659,1614,962,62,-5,-3.125,2.319,1.523,26656,S1,-51.0505578,1,4,-51.0505578,0,Preparing Fluids
23,6/8/19 15:24:21,8/6/19 15:24,37812,6550,2735,1614,1042,84,-80,-3.117,1.965,1.522,26656,S1,-71.333271,1,4,-71.333271,0,Preparing Fluids
24,6/8/19 15:24:21,8/6/19 15:24,37819,6550,2813,2759,974,-208,15,3.12,1.949,1.474,26656,S1,-72.2500038,1,4,-72.2500038,0,Preparing Fluids
25,6/8/19 15:24:22,8/6/19 15:24,37826,6510,2813,1415,1051,-40,-85,3.101,2.4,1.492,26656,S1,-46.409598,1,4,-46.409598,0,Preparing Fluids
26,6/8/19 15:24:23,8/6/19 15:24,37833,6509,2735,270,994,-75,-84,3.067,2.57,1.466,26656,S1,-36.669312,1,4,-36.669312,0,Preparing Fluids
27,6/8/19 15:24:24,8/6/19 15:24,37840,6435,2718,270,988,-61,-46,3.072,2.59,1.485,26656,S1,-35.523396,1,4,-35.523396,0,Preparing Fluids
28,6/8/19 15:24:25,8/6/19 15:24,37847,6382,2718,580,979,-78,-37,3.07,2.694,1.489,26656,S1,-29.5646328,1,4,-29.5646328,0,Preparing Fluids
29,6/8/19 15:24:25,8/6/19 15:24,37854,6382,2748,470,989,-78,-41,3.063,2.698,1.484,26656,S1,-29.3354496,1,4,-29.3354496,0,Preparing Fluids
30,6/8/19 15:24:26,8/6/19 15:24,37861,6342,2748,450,967,-86,-56,3.055,2.68,1.472,26656,S1,-30.366774,1,4,-30.366774,0,Preparing Fluids
31,6/8/19 15:24:27,8/6/19 15:24,37861,6330.5,2736.5,450,967,-86,-56,3.055,2.68,1.472,26656,S1,-30.366774,1,4,-30.366774,1,Preparing Fluids
32,6/8/19 15:24:28,8/6/19 15:24,37875,6319,2725,636,964,-53,-35,3.067,2.503,1.491,26656,S1,-40.5081306,1,4,-40.5081306,0,Preparing Fluids
33,6/8/19 15:24:28,8/6/19 15:24,37882,6319,2725,766,983,-69,-15,3.066,2.443,1.493,26656,S1,-43.9458786,1,4,-43.9458786,0,Preparing Fluids
34,6/8/19 15:24:29,8/6/19 15:24,37889,6319,2552,766,965,-59,-24,3.067,2.464,1.491,26656,S1,-42.7426668,1,4,-42.7426668,0,Preparing Fluids
35,6/8/19 15:24:30,8/6/19 15:24,37889,6346.5,2479,766,965,-59,-24,3.067,2.464,1.491,26656,S1,-42.7426668,1,4,-42.7426668,1,Preparing Fluids
36,6/8/19 15:24:31,8/6/19 15:24,37903,6374,2406,1897,949,-137,-64,3.095,2.544,1.493,26656,S1,-38.1590028,1,4,-38.1590028,0,Preparing Fluids
37,6/8/19 15:24:32,8/6/19 15:24,37910,6374,2264,1449,965,-110,-36,3.071,2.493,1.485,26656,S1,-41.0810886,1,4,-41.0810886,0,Preparing Fluids
38,6/8/19 15:24:33,8/6/19 15:24,37917,6357,2406,1443,1077,60,-161,3.135,2.625,1.462,26656,S1,-33.518043,1,4,-33.518043,0,Preparing Fluids
39,6/8/19 15:24:33,8/6/19 15:24,37924,6386,2406,1443,1090,-77,-145,-3.112,2.718,1.467,26656,S1,-28.1895336,1,4,-28.1895336,0,Preparing Fluids
40,6/8/19 15:24:34,8/6/19 15:24,37931,6238,2575,2506,979,30,-103,-3.125,2.722,1.475,26656,S1,-27.9603504,1,4,-27.9603504,0,Preparing Fluids
41,6/8/19 15:24:35,8/6/19 15:24,37938,6177,2678,2032,977,27,-134,-3.126,2.723,1.457,26656,S1,-27.9030546,1,4,-27.9030546,0,Preparing Fluids
42,6/8/19 15:24:36,8/6/19 15:24,37945,6184,2698,2032,977,22,-124,-3.124,2.731,1.455,26656,S1,-27.4446882,1,4,-27.4446882,0,Preparing Fluids
43,6/8/19 15:40:11,8/6/19 15:40,44917,5733,3029,2485,966,-84,-122,2.53,2.705,1.417,26656,S1,-28.934379,3,1,-28.934379,0,IV Fluid Antibiotic
44,6/8/19 15:40:12,8/6/19 15:40,44924,5733,2990,2519,973,-94,-128,2.525,2.704,1.42,26656,S1,-28.9916748,3,1,-28.9916748,0,IV Fluid Antibiotic
45,6/8/19 15:40:13,8/6/19 15:40,44931,5630,3091,2485,967,-83,-129,2.533,2.71,1.418,26656,S1,-28.6479,3,1,-28.6479,0,IV Fluid Antibiotic
46,6/8/19 15:40:14,8/6/19 15:40,44938,5608,3113,1498,975,-95,-131,2.529,2.704,1.418,26656,S1,-28.9916748,3,1,-28.9916748,0,IV Fluid Antibiotic
47,6/8/19 15:40:15,8/6/19 15:40,44945,5708,3052,1498,964,-92,-128,2.509,2.701,1.415,26656,S1,-29.1635622,3,1,-29.1635622,0,IV Fluid Antibiotic
48,6/8/19 15:40:15,8/6/19 15:40,44952,5731,3012,483,972,-95,-127,2.509,2.689,1.416,26656,S1,-29.8511118,3,1,-29.8511118,0,IV Fluid Antibiotic
49,6/8/19 15:40:16,8/6/19 15:40,44959,5709,3033,483,968,-85,-124,2.511,2.688,1.417,26656,S1,-29.9084076,3,1,-29.9084076,0,IV Fluid Antibiotic
